Comp,n_atom,rcov,EN,val,dval,ea,ip,period,atomic_no,atomic_mass,LF,HF
Sc,134,1.44,1.36,3,1,18.1,6.561,4,21,44.956,-2.22501234,-1.520564125
Ti,134,1.36,1.54,4,2,7.6,6.828,4,22,47.867,-4.22717218,-3.030213315
V,134,1.25,1.63,5,3,50.6,6.746,4,23,50.492,-1.11361241,-0.753405715
Cr,134,1.27,1.66,6,5,64.3,6.766,4,24,51.996,-0.72163503,-0.692229645
Mn,134,1.39,1.55,7,5,0,7.434,4,25,54.938,-0.51003333,-0.578009885
Fe,134,1.25,1.83,8,6,15.7,7.902,4,26,55.845,-0.45655679,-0.460590965
Co,134,1.26,1.88,9,7,63.7,7.881,4,27,58.933,-0.06103357,-0.197325275
Ni,134,1.21,1.92,10,8,112,7.639,4,28,58.693,1.29907894,1.545448555
Cu,134,1.38,1.9,11,10,118.4,7.726,4,29,63.546,0.94946825,1.549884975
Zn,134,1.31,1.65,12,10,0,9.394,4,30,65.38,0.66371897,0.900599565
Y,134,1.62,1.22,3,1,29.6,6.217,5,39,88.906,-2.29649576,-1.053393625
Zr,134,1.48,1.33,4,2,41.1,6.634,5,40,91.224,-1.20553223,-0.978398305
Nb,134,1.37,1.59,5,4,86.1,6.758,5,41,92.906,-3.42157334,-1.825472925
Mo,134,1.45,2.16,6,5,71.9,7.092,5,42,95.95,-2.06456094,-1.459912015
Tc,134,1.56,1.91,7,6,53,7.119,5,43,97,-1.18387754,-1.079168725
Ru,134,1.26,2.2,8,7,101.3,7.36,5,44,101.07,-0.88496741,-0.871364575
Rh,134,1.35,2.28,9,8,109.7,7.458,5,45,102.91,-0.31065593,-0.526073555
Od,134,1.31,2.2,10,10,53.7,8.336,5,46,106.42,1.78217841,1.719113445
Ag,134,1.53,1.93,11,10,125.6,7.576,5,47,107.87,-0.91395522,0.696247935
Cd,134,1.48,1.69,12,10,0,8.993,5,48,112.41,-1.72691448,-0.592872425
Hf,134,1.5,1.32,4,2,0,6.825,6,72,178.49,-3.55804265,-2.907850705
Ta,134,1.38,1.51,5,3,31,7.549,6,73,180.95,-2.64775626,-1.943517135
W,134,1.46,2.36,6,4,78.6,7.864,6,74,183.84,-1.99631394,-1.565419365
Re,134,1.59,1.93,7,5,14.5,7.833,6,75,186.21,-1.57332609,-1.297082175
Os,134,1.28,2.18,8,6,106.1,8.438,6,76,190.23,-0.77710283,-0.787159245
Ir,134,1.37,2.2,9,7,151,8.967,6,77,192.22,-0.5501724,-0.614431785
Pt,134,1.28,2.28,10,9,205.3,8.958,6,78,195.08,1.48673545,1.403430495
Au,134,1.44,2.54,11,10,222.8,9.225,6,79,196.97,-1.17548321,1.887643555
Sc,82,1.44,1.36,3,1,18.1,6.561,4,21,44.956,-1.96643277,-1.231532385
Ti,82,1.36,1.54,4,2,7.6,6.828,4,22,47.867,-3.4408435,-2.170633435
V,82,1.25,1.63,5,3,50.6,6.746,4,23,50.492,-1.19011282,-0.796697445
Cr,82,1.27,1.66,6,5,64.3,6.766,4,24,51.996,-0.73745018,-0.735643485
Mn,82,1.39,1.55,7,5,0,7.434,4,25,54.938,-0.47380656,-0.598083985
Fe,82,1.25,1.83,8,6,15.7,7.902,4,26,55.845,-0.48826362,-0.506234065
Co,82,1.26,1.88,9,7,63.7,7.881,4,27,58.933,-0.07698498,-0.334879885
Ni,82,1.21,1.92,10,8,112,7.639,4,28,58.693,1.16688873,1.359240665
Cu,82,1.38,1.9,11,10,118.4,7.726,4,29,63.546,0.81122885,1.424205055
Zn,82,1.31,1.65,12,10,0,9.394,4,30,65.38,0.70716251,0.968556975
Y,82,1.62,1.22,3,1,29.6,6.217,5,39,88.906,-1.71103775,-0.704331745
Zr,82,1.48,1.33,4,2,41.1,6.634,5,40,91.224,-1.26318443,-0.875380405
Nb,82,1.37,1.59,5,4,86.1,6.758,5,41,92.906,-2.74255916,-1.947312475
Mo,82,1.45,2.16,6,5,71.9,7.092,5,42,95.95,-2.15013612,-1.662552355
Tc,82,1.56,1.91,7,6,53,7.119,5,43,97,-1.15645515,-1.256792055
Ru,82,1.26,2.2,8,7,101.3,7.36,5,44,101.07,-0.9785233,-0.941036155
Rh,82,1.35,2.28,9,8,109.7,7.458,5,45,102.91,-0.28890974,-0.632697275
Od,82,1.31,2.2,10,10,53.7,8.336,5,46,106.42,1.60113961,1.469591205
Ag,82,1.53,1.93,11,10,125.6,7.576,5,47,107.87,-1.03657479,0.916110205
Cd,82,1.48,1.69,12,10,0,8.993,5,48,112.41,-1.62431095,-0.339726135
Hf,82,1.5,1.32,4,2,0,6.825,6,72,178.49,-3.65252508,-2.979621605
Ta,82,1.38,1.51,5,3,31,7.549,6,73,180.95,-2.69688892,-2.027693795
W,82,1.46,2.36,6,4,78.6,7.864,6,74,183.84,-2.14659471,-1.738182525
Re,82,1.59,1.93,7,5,14.5,7.833,6,75,186.21,-1.40316434,-1.318042515
Os,82,1.28,2.18,8,6,106.1,8.438,6,76,190.23,-0.87672472,-0.816007515
Ir,82,1.37,2.2,9,7,151,8.967,6,77,192.22,-0.61706365,-0.790360265
Pt,82,1.28,2.28,10,9,205.3,8.958,6,78,195.08,1.23632739,1.105820755
Au,82,1.44,2.54,11,10,222.8,9.225,6,79,196.97,-0.82212533,2.194241215
Sc,42,1.44,1.36,3,1,18.1,6.561,4,21,44.956,-1.690502505,-1.260742235
Ti,42,1.36,1.54,4,2,7.6,6.828,4,22,47.867,-2.795507415,-2.526257875
V,42,1.25,1.63,5,3,50.6,6.746,4,23,50.492,-0.654449295,-0.585938635
Cr,42,1.27,1.66,6,5,64.3,6.766,4,24,51.996,-0.546546955,-0.633089705
Mn,42,1.39,1.55,7,5,0,7.434,4,25,54.938,-0.465202095,-0.514107075
Fe,42,1.25,1.83,8,6,15.7,7.902,4,26,55.845,-0.303187175,-0.330914115
Co,42,1.26,1.88,9,7,63.7,7.881,4,27,58.933,0.167533195,0.060361445
Ni,42,1.21,1.92,10,8,112,7.639,4,28,58.693,1.644627575,1.659622295
Cu,42,1.38,1.9,11,10,118.4,7.726,4,29,63.546,1.800266385,1.869482745
Zn,42,1.31,1.65,12,10,0,9.394,4,30,65.38,1.059962445,1.289842345
Y,42,1.62,1.22,3,1,29.6,6.217,5,39,88.906,-1.344147985,-0.740518505
Zr,42,1.48,1.33,4,2,41.1,6.634,5,40,91.224,-2.630524375,-2.312250815
Nb,42,1.37,1.59,5,4,86.1,6.758,5,41,92.906,-2.690996025,-1.741826055
Mo,42,1.45,2.16,6,5,71.9,7.092,5,42,95.95,-1.070430895,-1.207335195
Tc,42,1.56,1.91,7,6,53,7.119,5,43,97,-1.046747505,-1.013940775
Ru,42,1.26,2.2,8,7,101.3,7.36,5,44,101.07,-0.738674525,-0.757434395
Rh,42,1.35,2.28,9,8,109.7,7.458,5,45,102.91,-0.146105015,-0.321303655
Od,42,1.31,2.2,10,10,53.7,8.336,5,46,106.42,1.911558585,1.795396525
Ag,42,1.53,1.93,11,10,125.6,7.576,5,47,107.87,0.340442565,1.706580585
